domain,year,team,team_slug,page_type,page_url,review_depth,last_checked,award_relationship,strengths,limitations
wetlab,2022,Leiden,leiden,measurement,https://2022.igem.wiki/leiden/measurement,deep,2026-09-08,Best Measurement nominee OG,"States samples controls protocol and instrument settings; reports SEM a 7.1 degree Celsius temperature change and 44.3 percent conversion; makes assumptions visible","Tumor-heating extrapolation assumes linearity and starting-temperature invariance; nanoparticle mass may include debris or medium components"
wetlab,2023,Estonia-TUIT,estonia-tuit,measurement,https://2023.igem.wiki/estonia-tuit/measurement,deep,2026-09-08,Best Measurement winner OG,"Normalizes flow-cytometry measurements; uses three biological replicates standard deviation t-tests and explicit p-value thresholds across seven shRNAs","High-copy expression saturates the response and prevents quantitative discrimination; the proposed lower-copy plasmid remains future work"
wetlab,2023,Lambert-GA,lambert-ga,measurement,https://2023.igem.wiki/lambert-ga/measurement,deep,2026-09-08,Best Measurement nominee HS,"Connects stakeholder testing to a redesigned low-cost fluorometer; uses triplicates plate-reader comparison regression and percent error","Completed characterization focuses on green fluorophores while red is preliminary so broad visible-spectrum claims need qualification"
wetlab,2024,Austin-utexas,austin-utexas,measurement,https://2024.igem.wiki/austin-utexas/measurement,deep,2026-09-08,Best Measurement winner UG,"Uses iGEM calibrants an OD660 workaround four trials with triplicate cultures uncertainty and detection thresholds to compare fluorescence per cell","Particle count is only an estimate of cell count and low-OD or low-fluorescence nonlinearity limits the valid operating range"
wetlab,2024,Freiburg,freiburg,measurement,https://2024.igem.wiki/freiburg/measurement/,deep,2026-09-08,Best Measurement nominee OG,"Tests standards matrix effects controls and uncertainty propagation; detects a standard mismatch and low-concentration failure; recommends a quantified operating floor","Some tests use duplicates or a single replicate and detergent treatment may not fully disrupt lipid nanoparticles"
hp,2022,TU-Eindhoven,tu-eindhoven,human-practices,https://2022.igem.wiki/tu-eindhoven/human-practices,deep,2026-09-08,Best Integrated Human Practices winner UG,"Maps stakeholders by power and interest; translates values into norms and requirements; connects patient input to design modeling and wet-lab consequences","The framework-heavy page can bury the few highest-impact changes and would benefit from a concise before-and-after decision summary"
hp,2022,Technion-Israel,technion-israel,human-practices,https://2022.igem.wiki/technion-israel/human-practices,deep,2026-09-08,Best Integrated Human Practices nominee OG,"Documents diverse independent advisers and shows feedback changing communication feasibility modeling measurement plans and the OraCell tool","The long sequence of meetings makes it difficult to compare which stakeholder input had the strongest evidence or remained unresolved"
hp,2023,HUST-China,hust-china,human-practices,https://2023.igem.wiki/hust-china/human-practices,deep,2026-09-08,Best Integrated Human Practices winner UG,"Uses coal-plant field data on temperature and gas conditions to reject a cooling-tower location and change hardware and experimental design","Positive feedback dominates; the strongest change chains need direct technical-evidence links and explicit unresolved cost or feasibility constraints"
hp,2023,Aalto-Helsinki,aalto-helsinki,human-practices,https://2023.igem.wiki/aalto-helsinki/human-practices,deep,2026-09-08,Best Integrated Human Practices nominee OG,"Organizes a project journey with per-stakeholder implementation outcomes; records bioethics guidance survey translations bias and scale changes","Repeated framework language fragments the causal story; a smaller set of decisive changes and tighter survey-bias boundaries would be clearer"
hp,2024,GreatBay-SCIE,greatbay-scie,human-practices,https://2024.igem.wiki/greatbay-scie/human-practices,deep,2026-09-08,Best Integrated Human Practices winner HS,"Uses a five-stage process and a three-dimensional stakeholder map; interviews alter fragment design bioassay protocol packaging and the registration path","Repeated success-shaped interaction units can flatten uncertainty; unfinished Pichia pastoris verification must remain labeled as future work"
hp,2024,Stanford,stanford,human-practices,https://2024.igem.wiki/stanford/human-practices,deep,2026-09-08,Best Integrated Human Practices nominee UG,"Applies human-centered design; roughly twenty patient interviews lead to a patient advisory board and a continuing feedback channel","More than forty contacts need clearer mapping to concrete technical decisions plus explicit evidence for representativeness and consent"
implementation,2022,INSA-Lyon1,insa-lyon1,hardware,https://2022.igem.wiki/insa-lyon1/hardware,deep,2026-09-08,Best Hardware winner UG,"Derives requirements from users; builds and tests an imaging chamber costing 386.78 euros; shares plans materials and unresolved temperature-control work","Claims of professional-standard resolution and sensitivity need quantitative benchmarks and several requirements remain incomplete"
implementation,2022,MIT-MAHE,mit-mahe,software,https://2022.igem.wiki/mit-mahe/software,targeted,2026-09-08,Best Software Tool nominee OG,"Explains an algorithm from alanine scanning and a delta-delta-G threshold through Cartesian-product generation random sampling and FASTA output","The inspected page does not make installation tests representative inputs and outputs or a reproducible environment sufficiently visible"
implementation,2023,Fudan,fudan,software,https://2023.igem.wiki/fudan/software/,deep,2026-09-08,Best Software Tool winner UG,"Provides public source online and offline documentation a web interface REST APIs Docker images GenBank interoperability and experimental validation","Many tools share one page so each reproduction path is dense; dataset licensing and validation boundaries should sit beside their claims"
implementation,2023,Rochester,rochester,hardware,https://2023.igem.wiki/rochester/hardware,deep,2026-09-08,Best Hardware nominee UG,"Presents a sub-450-dollar bioprinter through detailed DBTL cycles firmware software material tests and model-hardware integration","Some sample-representativeness and material assumptions are broad and field reliability or representative-user testing is not established"
implementation,2024,UBC-Vancouver,ubc-vancouver,hardware,https://2024.igem.wiki/ubc-vancouver/hardware/,targeted,2026-09-08,Best Hardware winner UG,"Connects three hardware systems to explicit sustainability stakeholder and DBTL goals","The inspected page is a high-level gateway; decisive specifications and tests live in subpages and need precise summaries or links"
implementation,2024,Munich,munich,software,https://2024.igem.wiki/munich/software/,deep,2026-09-08,Best Software Tool nominee OG,"Documents local deployment architecture data handling evaluation multiple embedding models chunk sizes source code and contribution paths","The proof of concept uses only 2019 wikis; evaluation is limited to twenty wikis and twenty questions and relies on an LLM judge"
story,2021,KCL-UK,KCL_UK,home,https://2021.igem.org/Team:KCL_UK,targeted,2026-09-08,Best Wiki nominee UG,"States the project problem solution and three technical components in a short first-page path with direct evidence links","Clinical and revolutionary language remains aspirational on the home page and needs explicit links to maturity and safety evidence"
story,2022,MIT-MAHE,mit-mahe,home,https://2022.igem.wiki/mit-mahe/,targeted,2026-09-08,Best Wiki nominee OG,"Moves from aquaculture pressure to vibriosis and then to a two-part peptide and chitosan-nanoparticle solution","The sparse image-led landing page provides little direct evidence or claim qualification and depends heavily on visual assets"
story,2023,Heidelberg,heidelberg,home,https://2023.igem.wiki/heidelberg/,deep,2026-09-08,Best Wiki nominee OG,"Combines award status a quantified mixed-plastic problem the two-strain mechanism and links between modeling and wet-lab design","Broad circular-economy and SDG impact language exceeds what a home page can substantiate and should remain linked to bounded evidence"
story,2024,Fudan,fudan,home,https://2024.igem.wiki/fudan/,targeted,2026-09-08,Best Wiki nominee UG,"Separates Project Technology and Community routes and exposes the team repository from the primary navigation","Much of the project story is embedded in image assets with little extractable text so essential meaning and accessibility are fragile"
wetlab,2021,Vilnius-Lithuania,Vilnius-Lithuania,measurement,https://2021.igem.org/Team:Vilnius-Lithuania/Measurement,deep,2026-09-08,Best Measurement winner UG,"Connects calibration triplicate colony sampling controls functional-data analysis an unexpected negative result and promoter selection","Regression and confidence-interval claims need clearer sample definitions model diagnostics and uncertainty interpretation beside the conclusions"
wetlab,2021,Fudan,Fudan,measurement,https://2021.igem.org/Team:Fudan/Measurement,deep,2026-09-08,Best Measurement nominee UG,"Documents failed extraction attempts protocol optimization a complete reusable procedure low- and high-copy tests and an external user trial","Several protocol units appear inconsistent and the single neighboring-lab trial is limited evidence for general usability or reproducibility"
model,2022,Munich,munich,model,https://2022.igem.wiki/munich/model,deep,2026-09-08,Best Model nominee UG,"Builds from a system diagram to ODEs and a parameter table that distinguishes assumed and literature-derived values then connects docking mutations to design choices","The rough approximation depends heavily on estimated parameters and needs dimensional checks uncertainty propagation and stronger independent validation"
model,2023,ZJU-China,zju-china,model,https://2023.igem.wiki/zju-china/model,deep,2026-09-08,Best Model winner UG,"Links four scales from environmental spread and vascular transport to expression and antigen binding and compares transport predictions with qPCR trends","The very dense page scatters assumptions parameter provenance and validation boundaries making it difficult to judge which outputs are calibrated"
model,2023,Heidelberg,heidelberg,model,https://2023.igem.wiki/heidelberg/model,deep,2026-09-08,Best Model nominee OG,"Opens with a capability-assumption-limitation table then tests a genome-scale digital twin against measured growth and feeds knockout predictions to wet-lab design","The headline accuracy comes from a small test set and industrial scale-up conclusions remain simulation-based rather than independently validated"
model,2024,Tsinghua,tsinghua,model,https://2024.igem.wiki/tsinghua/model,deep,2026-09-08,Best Model nominee UG,"States two modeling purposes connects four physiological stages and exposes equations parameters code and evidence status within each module","Many parameters are assumed and one dataset is manually drafted because animal evidence is absent so those outputs demonstrate method rather than prediction"
hp,2021,Bolivia,Bolivia,human-practices,https://2021.igem.org/Team:Bolivia/Human_Practices,deep,2026-09-08,Best Integrated Human Practices winner UG,"Expert and community input changes the target population water-matrix strategy sampling approach and affordability and usability requirements","The survey supports local needs but broad claims that the project will be beneficial need representativeness consent and feasibility boundaries"
implementation,2021,UPenn,UPenn,hardware,https://2021.igem.org/Team:UPenn/Hardware,deep,2026-09-08,Best Hardware winner UG,"Defines a user problem then publishes a 96-well device architecture source files assembly time bill of materials cost calibration and biological tests","Some calibration remained unimplemented and robust or industry-comparable claims need repeated independent performance and reliability evidence"
implementation,2021,Rochester,Rochester,hardware,https://2021.igem.org/Team:Rochester/Hardware,deep,2026-09-08,Best Hardware nominee UG,"Connects microfluidic design manufacturing attempts stakeholder advice COMSOL predictions and measured flow to successive design decisions","Duplicated passages and inconsistent reported flow units make the final specification and strength of model-hardware agreement difficult to audit"
implementation,2025,SHSID,shsid,hardware,https://2025.igem.wiki/shsid/hardware,deep,2026-09-08,Best Hardware winner HS,"Documents three design versions expert-driven changes a modular flow functional subsystem tests software control and open-source intent","Testing is largely module-level; color-sensor ranges overlap and real industrial wastewater integrated-cycle reliability and biosafety remain unvalidated"
