year,team,team_slug,page_url,module_id,module_name,page_anchor,biological_question,model_archetype,method_summary,data_source,parameter_provenance,validation_type,project_decision,evidence_scope,reproduction_path,limitations,last_checked
2025,Heidelberg,heidelberg,https://2025.igem.wiki/heidelberg/model,receptor-dimerization,Membrane receptor dimerization,page-root,Which transmembrane-domain pair minimizes background dimerization,structural-sequence;spatial-multiscale,Coarse-grained Martini membrane simulations compare receptor-pair dimerization behavior,team-experiment;literature;simulated,team-measured;literature-derived;tool-default,experimental-comparison;internal-consistency,design-selection;experimental-prioritization,validated-with-team-data,method-described,The tested domain set is small and future kinetic-rate extraction is not yet established,2026-09-09
2025,Heidelberg,heidelberg,https://2025.igem.wiki/heidelberg/model,sensing-layer,Receptor sensing-layer equilibrium,page-root,How do ligand and receptor concentrations determine dimerized receptor abundance,mechanistic-kinetic,Steady-state ligand binding and receptor dimerization solved from a constrained polynomial system,literature;simulated;assumed,literature-derived;derived;assumed,internal-consistency;literature-benchmark,design-selection;interpretation,internally-checked,method-described,The quasi-equilibrium model omits temporal behavior and background dimerization,2026-09-09
2025,Heidelberg,heidelberg,https://2025.igem.wiki/heidelberg/model,processing-layer,Phosphorylation processing layer,page-root,How do kinase and phosphatase ratios control active substrate abundance,mechanistic-kinetic,Steady-state phosphorylation and dephosphorylation kinetics generate circuit dose-response curves,team-experiment;literature;simulated;assumed,team-measured;literature-derived;assumed,experimental-comparison;internal-consistency,design-selection;experimental-prioritization,validated-with-team-data,method-described,Unknown absolute intracellular concentrations require ratio scaling and limit parameter interpretation,2026-09-09
2025,Heidelberg,heidelberg,https://2025.igem.wiki/heidelberg/model,integrated-cell,Integrated PHOENICS cell,page-root,Which receptor composition gives useful activation and inhibition under two ligands,mechanistic-kinetic;hybrid,The sensing and processing layers are coupled into an end-to-end steady-state input-output model,team-experiment;literature;simulated;assumed,team-measured;literature-derived;assumed,experimental-comparison;internal-consistency,design-selection;experimental-prioritization,validated-with-team-data,method-described,Agreement is demonstrated for selected receptor ratios and does not establish universal predictive accuracy,2026-09-09
2025,Heidelberg,heidelberg,https://2025.igem.wiki/heidelberg/model,ultrasensitivity,Switch ultrasensitivity analysis,page-root,How sharply and at what threshold does a circuit architecture switch,mechanistic-kinetic,Adaptive sampling and Hill-curve analysis estimate switching slope and half-maximal response,team-experiment;simulated;assumed,team-measured;team-fitted;assumed,experimental-comparison;sensitivity-analysis,design-selection;experimental-prioritization;interpretation,validated-with-team-data,method-described,The initial validation covers the intracellular processing module and shows a gradual rather than ultrasensitive switch,2026-09-09
2025,Heidelberg,heidelberg,https://2025.igem.wiki/heidelberg/model,phoenics-builder,PHOENICS design database,page-root,Which available circuit architecture is closest to a requested switching profile,hybrid,A precomputed parameter-combination database uses standardized Euclidean distance for top-k design retrieval,team-experiment;literature;simulated;assumed,team-measured;literature-derived;assumed,internal-consistency,design-selection;experimental-prioritization,partially-validated,method-described;interactive-tool,Returned candidates still require experimental validation and database coverage is limited to available characterized components,2026-09-09
2025,Munich,munich,https://2025.igem.wiki/munich/model,tyrosinase-kinetics,Tyrosinase reaction kinetics,page-root,How quickly can different tyrosinase and nanocage combinations produce dopaquinone,mechanistic-kinetic,Coupled Michaelis-Menten differential equations compare enzyme and cage configurations,literature;simulated;assumed,literature-derived;derived;assumed,internal-consistency;literature-benchmark,design-selection;construct-selection,partially-validated,method-described;code-linked,Pore flux reversibility and enzyme behavior after attachment are assumed and need direct measurement,2026-09-09
2025,Munich,munich,https://2025.igem.wiki/munich/model,optical-transmission,Hydrogel optical transmission,page-root,How many melanin-producing cells or beads are needed to reach a target transmission,mechanistic-kinetic,A modified Beer-Lambert calculation consumes the 48-hour kinetics output and idealized cell stacking,literature;simulated;assumed,literature-derived;derived;assumed,internal-consistency,design-selection;interpretation,illustrative,method-described;code-linked,Hydrogel scattering skin absorption cell orientation and actual melanin yield are not measured in the model,2026-09-09
2025,Munich,munich,https://2025.igem.wiki/munich/model,split-tyrosinase,Split tyrosinase screening,page-root,Where can tyrosinase be split while retaining reconstitution potential,structural-sequence;data-driven-ml,SPELL screening is followed by AlphaFold Boltz and Rosetta structure and energy checks,team-experiment;public-database;literature;simulated,team-measured;literature-derived;tool-default,experimental-comparison;internal-consistency;literature-benchmark,construct-selection;experimental-prioritization,partially-validated,method-described,Several candidates fail at expression or solubility stages and predicted geometry alone cannot prove enzymatic reconstitution,2026-09-09
2025,Munich,munich,https://2025.igem.wiki/munich/model,lid-domain,Lid-domain tyrosinase design,page-root,Can a redesigned lid suppress activity until protease activation,structural-sequence;data-driven-ml,Structure prediction affinity estimation and energy refinement guide linker and cleavage-site design,team-experiment;public-database;literature;simulated,team-measured;literature-derived;tool-default,experimental-comparison;internal-consistency,construct-selection;experimental-prioritization,validated-with-team-data,method-described,Validation is specific to the tested HcTyr1 construct and does not generalize to all lid-domain enzymes,2026-09-09
2025,Munich,munich,https://2025.igem.wiki/munich/model,encapsulin-assembly,Encapsulin-tyrosinase assembly,page-root,What fusion loading and linker geometry can fit inside an assembled nanocage,structural-sequence;spatial-multiscale;hybrid,Reduced assembly units and multi-tool structure analysis compare loading ratios and steric compatibility,team-experiment;public-database;literature;simulated,team-measured;literature-derived;tool-default,experimental-comparison;internal-consistency,design-selection;construct-selection;experimental-prioritization,partially-validated,method-described,Native PAGE cannot distinguish correct cages from aggregates and activity of the large assemblies was not established,2026-09-09
2025,SUSTech-BIO,sustech-bio,https://2025.igem.wiki/sustech-bio/model,growth-environment,Environmental growth response,page-root,How do temperature pH and expandable environmental factors change engineered bacterial growth,mechanistic-kinetic,CCD response-surface fitting is extended with a modular gamma-interaction formulation,team-experiment;literature,team-measured;team-fitted;literature-derived,experimental-comparison;cross-validation;literature-benchmark,parameter-estimation;design-selection;experimental-prioritization,validated-with-team-data,method-described,The experimental design contains few unique conditions and extension to humidity or osmotic pressure remains proposed,2026-09-09
2025,SUSTech-BIO,sustech-bio,https://2025.igem.wiki/sustech-bio/model,biphasic-death,Biphasic starvation death,page-root,How does engineered bacterial survival change after nutrient depletion at different initial densities,mechanistic-kinetic,First- and second-order phases are fitted and related to a density-dependent ODE interpretation,team-experiment;literature,team-measured;team-fitted;literature-derived,experimental-comparison;literature-benchmark,parameter-estimation;interpretation,validated-with-team-data,method-described,The mechanism-level ODE interpretation extends beyond the directly fitted phasewise survival curves,2026-09-09
2025,SUSTech-BIO,sustech-bio,https://2025.igem.wiki/sustech-bio/model,killing-calibration,Condition-specific killing calibration,page-root,How can endpoint plate assays parameterize nonlinear attacker-to-prey killing behavior,mechanistic-kinetic,Each starting ratio receives a separate effective killing parameter for lookup by the simulator,team-experiment,team-measured;team-fitted,experimental-comparison,parameter-estimation;design-selection;interpretation,partially-validated,method-described,Five-hour endpoint values do not identify continuous-time kinetics and should not be pooled across untested environments,2026-09-09
2025,SUSTech-BIO,sustech-bio,https://2025.igem.wiki/sustech-bio/model,suicide-switch,Suicide-switch pathway,page-root,How might copy number blue light signaling and toxin neutralization determine engineered-cell survival,mechanistic-kinetic,A staged regulatory ODE and statistical survival model links promoter signaling immunity and toxin activity,literature;simulated;assumed,literature-derived;team-fitted;assumed,literature-benchmark,design-selection;parameter-estimation;interpretation,illustrative,method-described,Several numerical values are midpoint assumptions or extrapolations and the complete pathway is not calibrated as an integrated system,2026-09-09
2025,SUSTech-BIO,sustech-bio,https://2025.igem.wiki/sustech-bio/model,gpu-particle,GPU particle killing simulation,page-root,How do local particle encounters translate calibrated killing strength into spatial population dynamics,stochastic;spatial-multiscale;hybrid,A C and OpenGL particle system simulates bacterial encounters using condition-specific killing parameters,team-experiment;simulated,team-measured;team-fitted;derived,experimental-comparison;internal-consistency,design-selection;experimental-prioritization;interpretation,partially-validated,method-described,The particle interaction rules are calibrated to endpoint assays and do not independently validate spatial or time-resolved killing,2026-09-09
2021,NUS-Singapore,NUS_Singapore,https://2021.igem.org/Team:NUS_Singapore/Model,blue-light-induction,Blue-light circuit optimization,page-root,How do promoter repeat count and illumination affect optogenetic expression,mechanistic-kinetic,Experimental characterization informs predictive induction equations and sensitivity analysis,team-experiment;literature;assumed,team-measured;team-fitted;literature-derived;assumed,experimental-comparison;sensitivity-analysis,design-selection;experimental-prioritization,validated-with-team-data,method-described,A small condition set supports the selected circuit iteration rather than general optogenetic performance,2026-09-09
2021,NUS-Singapore,NUS_Singapore,https://2021.igem.org/Team:NUS_Singapore/Model,flocculation-timing,Flocculation timing and hardware control,page-root,When will the culture reach 99 percent flocculation for collection,mechanistic-kinetic,Experimental flocculation dynamics are converted into a predictive timing relation for reactor automation,team-experiment;literature;assumed,team-measured;team-fitted;literature-derived;assumed,experimental-comparison;sensitivity-analysis,stopping-policy;hardware-design;interpretation,validated-with-team-data,method-described,The stopping rule is bounded to tested culture and induction conditions and should not be generalized across strains or reactor scales,2026-09-09
2024,Heidelberg,heidelberg,https://2024.igem.wiki/heidelberg/model,three-scale-design,Three-scale molecular design pipeline,page-root,Which molecular designs remain promising across sequence structure and mesoscale analyses,structural-sequence;spatial-multiscale,A linked three-scale computational pipeline ranks candidates and exposes its HPC requirements,public-database;literature;simulated,literature-derived;tool-default;derived,internal-consistency;literature-benchmark,construct-selection;experimental-prioritization,internally-checked,method-described,Large unprocessed data volume and computational scale are limitations rather than evidence of validation,2026-09-08
2024,Tsinghua,tsinghua,https://2024.igem.wiki/tsinghua/model,four-stage-physiology,Four-stage physiological response model,page-root,How might an engineered intervention propagate across four physiological stages,mechanistic-kinetic;hybrid,Coupled equations connect four physiological stages and expose each module's parameter and evidence status,literature;simulated;assumed;manually-constructed,literature-derived;assumed,illustrative-only;literature-benchmark,interpretation;future-work,illustrative,method-described;code-linked,Many parameters are assumed and one manually drafted dataset demonstrates the method rather than a biological prediction,2026-09-08
2023,ZJU-China,zju-china,https://2023.igem.wiki/zju-china/model,multiscale-delivery,Multiscale delivery and expression model,page-root,How do environmental spread and vascular transport propagate into expression and antigen binding,mechanistic-kinetic;spatial-multiscale;hybrid,Linked models connect environmental spread transport expression and molecular binding across four scales,team-experiment;literature;simulated,literature-derived;assumed;derived,experimental-comparison;literature-benchmark,design-selection;interpretation,partially-validated,method-described,Assumptions parameter provenance and calibration boundaries are distributed across a dense page and only selected transport trends are compared with qPCR,2026-09-08
2023,Heidelberg,heidelberg,https://2023.igem.wiki/heidelberg/model,genome-scale-digital-twin,Genome-scale metabolic digital twin,page-root,Which knockout candidates improve the target phenotype while remaining compatible with observed growth,mechanistic-kinetic;data-driven-ml;hybrid,A genome-scale digital twin is checked against measured growth before computational knockout screening,team-experiment;public-database;simulated,team-measured;tool-default;derived,experimental-comparison;internal-consistency,construct-selection;experimental-prioritization;future-work,partially-validated,method-described,The reported accuracy uses a small test set and industrial scale-up conclusions remain simulation-based,2026-09-08
2022,TU-Eindhoven,tu-eindhoven,https://2022.igem.wiki/tu-eindhoven/model,kinetic-sensitivity,Kinetic sensitivity and repeat design,page-root,Which kinetic parameters dominate model output and which wet-lab measurements should be repeated,mechanistic-kinetic,A parameterized kinetic model combines global sensitivity analysis with targeted wet-lab repeats,team-experiment;literature;assumed,team-measured;team-fitted;literature-derived;assumed,experimental-comparison;sensitivity-analysis,parameter-estimation;experimental-prioritization,validated-with-team-data,method-described,Fitted parameters and independently validated parameters must remain distinguishable when interpreting agreement,2026-09-08
2022,Munich,munich,https://2022.igem.wiki/munich/model,system-ode,System-level ODE model,page-root,How do the modeled components interact quantitatively and which design choices follow,mechanistic-kinetic,A system diagram is translated into ODEs with a parameter table separating assumed and literature-derived values,team-experiment;literature;assumed,literature-derived;assumed,experimental-comparison;literature-benchmark,construct-selection;design-selection,partially-validated,method-described,The approximation depends heavily on estimated parameters and needs dimensional checks uncertainty propagation and stronger independent validation,2026-09-08
